name	count	yf	y	m	d	ra_deg	ra_h	ra_m	ra_s	de_deg	de_d	de_m	de_s	oc_ra	oc_de	oc_ra_eps	oc_de_eps	oc_ra_sigma	oc_de_sigma
153	u3        	5	2015.649494026	2015	8	26.06531947	18.6335892	1	14	32.0614		7.1782372	7	10 	41.654		0.005	-0.034	0.02	0.031	0.046	0.07
154	u4        	5	2015.649494026	2015	8	26.06531947	18.6305625	1	14	31.335		7.1688528	7	10 	7.87		0.032	0.011	0.01	0.029	0.022	0.065
155	u2        	5	2015.6604192564	2015	8	30.05302859	18.5473633	1	14	11.3672		7.1273561	7	 7 	38.482		0.054	-0.106	0.044	0.062	0.097	0.139
156	u3        	5	2015.6604192564	2015	8	30.05302859	18.5470325	1	14	11.2878		7.12345		7	 7 	24.42		0.031	-0.081	0.017	0.008	0.038	0.017
157	u4        	5	2015.6604192564	2015	8	30.05302859	18.5495092	1	14	11.8822		7.12149		7	 7 	17.364		0.039	-0.095	0.027	0.043	0.06	0.096
158	u1        	5	2015.663142609	2015	8	31.04705229	18.5203283	1	14	4.8788		7.1254128	7	 7 	31.486		0.283	-0.441	0.109	0.087	0.243	0.194
159	u3        	5	2015.663142609	2015	8	31.04705229	18.5253408	1	14	6.0818		7.1158833	7	 6 	57.18		-0.023	-0.104	0.022	0.027	0.049	0.06
160	u4        	5	2015.663142609	2015	8	31.04705229	18.5270342	1	14	6.4882		7.1145094	7	 6 	52.234		0	-0.087	0.014	0.012	0.03	0.027
161	u3        	5	2015.668613447	2015	9	2.04390815	18.4733175	1	13	53.5962		7.1060872	7	 6 	21.914		-0.005	-0.141	0.012	0.022	0.026	0.049
162	u4        	5	2015.668613447	2015	9	2.04390815	18.4762083	1	13	54.29		7.1034417	7	 6 	12.39		-0.008	-0.11	0.014	0.022	0.032	0.049
163	u3        	5	2015.6795708194	2015	9	6.04334908	18.3591867	1	13	26.2048		7.0526178	7	 3 	9.424		-0.092	-0.198	0.014	0.035	0.032	0.079
164	u4        	4	2015.6795716322	2015	9	6.04364577	18.358074	1	13	25.93775	7.0659174	7	 3 	57.3025		-0.03	-0.034	0.01	0.028	0.02	0.055
165	u1        	5	2015.6931935699	2015	9	11.01565302	18.2164825	1	12	51.9558		6.9935644	6	59 	36.832		0.02	-0.395	0.056	0.127	0.126	0.285
166	u2        	5	2015.6931935699	2015	9	11.01565302	18.2179808	1	12	52.3154		6.9908661	6	59 	27.118		0.007	-0.065	0.017	0.022	0.039	0.05
167	u3        	5	2015.6931935699	2015	9	11.01565302	18.2196083	1	12	52.706		7.0025217	7	 0 	9.078		-0.035	-0.066	0.008	0.023	0.017	0.052
168	u4        	5	2015.6931935699	2015	9	11.01565302	18.2177942	1	12	52.2706		6.9849928	6	59 	5.974		-0.046	-0.047	0.006	0.016	0.013	0.036
169	u3        	5	2015.6959290168	2015	9	12.01409114	18.1855342	1	12	44.5282		6.9919544	6	59 	31.036		-0.073	-0.06	0.02	0.018	0.044	0.04
170	u4        	5	2015.6959290168	2015	9	12.01409114	18.190125	1	12	45.63		6.9720811	6	58 	19.492		-0.108	-0.052	0.021	0.02	0.046	0.045
171	u1        	5	2015.7123151904	2015	9	17.99504448	17.9930017	1	11	58.3204		6.9069133	6	54 	24.888		-0.015	-0.139	0.036	0.034	0.08	0.076
172	u2        	5	2015.7123151904	2015	9	17.99504448	17.9921108	1	11	58.1066		6.9072833	6	54 	26.22		0.19	-0.139	0.067	0.025	0.149	0.055
173	u3        	5	2015.7123151904	2015	9	17.99504448	17.9998183	1	11	59.9564		6.901095	6	54 	3.942		-0.042	-0.131	0.006	0.01	0.014	0.023
174	u4        	5	2015.7123151904	2015	9	17.99504448	17.9940708	1	11	58.577		6.9155933	6	54 	56.136		-0.02	-0.069	0.008	0.005	0.018	0.01
175	u4        	5	2015.7150522116	2015	9	18.99405723	17.9577817	1	11	49.8676		6.9015439	6	54 	5.558		-0.012	-0.109	0.01	0.011	0.021	0.025
176	u3        	5	2015.7177910606	2015	9	19.99373712	17.9285875	1	11	42.861		6.8841917	6	53 	3.09		-0.109	-0.05	0.015	0.018	0.034	0.041
177	u4        	5	2015.7177910606	2015	9	19.99373712	17.92192	1	11	41.2608		6.8850239	6	53 	6.086		0.032	-0.036	0.014	0.023	0.031	0.052
178	u3        	5	2015.7314746181	2015	9	24.98823562	17.7551208	1	11	1.229		6.7969361	6	47 	48.97		-0.01	0.002	0.015	0.009	0.033	0.02
179	u4        	5	2015.7314746181	2015	9	24.98823562	17.7555375	1	11	1.329		6.7940056	6	47 	38.42		-0.017	-0.002	0.015	0.006	0.033	0.014
180	u3        	5	2015.7369324768	2015	9	26.98035401	17.6874633	1	10	44.9912		6.7748361	6	46 	29.41		0.05	-0.008	0.036	0.011	0.081	0.024
181	u2        	5	2015.756033902	2015	10	3.95237422	17.4256117	1	9	42.1468		6.6771661	6	40 	37.798		0.224	0.057	0.049	0.032	0.109	0.072
182	u3        	5	2015.756033902	2015	10	3.95237422	17.4287108	1	9	42.8906		6.6634317	6	39 	48.354		0.128	0.107	0.027	0.017	0.06	0.038
183	u4        	5	2015.756033902	2015	10	3.95237422	17.420315	1	9	40.8756		6.6782872	6	40 	41.834		0.159	0.112	0.029	0.017	0.066	0.038
184	u2        	3	2015.7833479408	2015	10	13.9219984	17.0495236	1	8	11.88567	6.5147083	6	30 	52.95		-0.027	0.008	0.045	0.06	0.077	0.105
185	u3        	5	2015.7833468373	2015	10	13.9215956	17.05507	1	8	13.2168		6.5148311	6	30 	53.392		0.116	0.052	0.023	0.033	0.052	0.073
186	u4        	5	2015.7833468373	2015	10	13.9215956	17.0523592	1	8	12.5662		6.5282756	6	31 	41.792		0.107	-0.082	0.016	0.017	0.035	0.038
187	u3        	5	2015.7696841631	2015	10	8.93471954	17.2353917	1	8	56.494		6.6029233	6	36 	10.524		0.091	-0.035	0.029	0.011	0.065	0.026
188	u4        	5	2015.7696841631	2015	10	8.93471954	17.2422792	1	8	58.147		6.5843572	6	35 	3.686		0.065	-0.023	0.018	0.007	0.041	0.015
189	u2        	5	2015.8024830337	2015	10	20.90630728	16.7851217	1	7	8.4292		6.4171244	6	25 	1.648		0.178	-0.036	0.02	0.029	0.045	0.065
190	u3        	5	2015.8024830337	2015	10	20.90630728	16.7880708	1	7	9.137		6.4043567	6	24 	15.684		0.096	0.035	0.011	0.009	0.024	0.021
191	u4        	5	2015.8024830337	2015	10	20.90630728	16.786185	1	7	8.6844		6.4028244	6	24 	10.168		0.089	0.012	0.008	0.01	0.018	0.023
192	u2        	5	2015.8243237213	2015	10	28.87815828	16.4950542	1	5	58.813		6.3006889	6	18 	2.48		0.073	0.013	0.01	0.019	0.023	0.044
193	u3        	5	2015.8243237213	2015	10	28.87815828	16.4944683	1	5	58.6724		6.2891222	6	17 	20.84		0.003	0.045	0.01	0.011	0.023	0.024
194	u4        	5	2015.8243237213	2015	10	28.87815828	16.4939025	1	5	58.5366		6.3069733	6	18 	25.104		0.017	0.007	0.008	0.008	0.018	0.019
195	u1        	5	2015.8297951627	2015	10	30.87523438	16.4238342	1	5	41.7202		6.26955		6	16 	10.38		0.296	-0.109	0.053	0.056	0.118	0.126
196	u2        	5	2015.8297951627	2015	10	30.87523438	16.4266		1	5	42.384		6.2619206	6	15 	42.914		-0.001	0.055	0.019	0.017	0.042	0.039
197	u3        	5	2015.8297951627	2015	10	30.87523438	16.429825	1	5	43.158		6.2606694	6	15 	38.41		0.027	0.01	0.014	0.02	0.031	0.045
198	u4        	5	2015.8297951627	2015	10	30.87523438	16.4195808	1	5	40.6994		6.2735644	6	16 	24.832		0.023	0.065	0.004	0.028	0.01	0.062
199	u1        	5	2015.8461839904	2015	11	5.85715648	16.2225233	1	4	53.4056		6.181845	6	10 	54.642		-0.172	0.278	0.024	0.033	0.053	0.073
200	u2        	5	2015.8461839904	2015	11	5.85715648	16.2217825	1	4	53.2278		6.1903178	6	11 	25.144		-0.067	-0.143	0.013	0.026	0.03	0.059
201	u3        	5	2015.8461839904	2015	11	5.85715648	16.2180142	1	4	52.3234		6.1829067	6	10 	58.464		0.01	0.064	0.027	0.026	0.061	0.059
202	u4        	5	2015.8461839904	2015	11	5.85715648	16.22691	1	4	54.4584		6.1762717	6	10 	34.578		-0.062	0.066	0.004	0.008	0.009	0.018
203	u1        	4	2015.9363461491	2015	12	8.76634444	15.4211719	1	1	41.08125	5.8690007	5	52 	8.4025		-0.033	-0.04	0.077	0.047	0.154	0.094
204	u3        	4	2015.9363461491	2015	12	8.76634444	15.4163667	1	1	39.928		5.8797271	5	52 	47.0175		0.026	-0.1	0.002	0.011	0.005	0.021
205	u4        	4	2015.9363461491	2015	12	8.76634444	15.4162156	1	1	39.89175	5.8831542	5	52 	59.355		-0.009	-0.108	0.028	0.043	0.056	0.086
206	u3        	5	2015.9857246585	2015	12	26.78950036	15.2923383	1	1	10.1612		5.8383494	5	50 	18.058		0.073	-0.026	0.012	0.014	0.027	0.032
207	u4        	5	2015.9857246585	2015	12	26.78950036	15.2944375	1	1	10.665		5.8252844	5	49 	31.024		-0.002	0.009	0.008	0.02	0.018	0.061
208	u3        	4	2015.9800584752	2015	12	24.72134345	15.2985927	1	1	11.66225	5.8395437	5	50 	22.3575		-0.021	0.003	0.008	0.02	0.016	0.039
209	u4        	4	2015.9800584752	2015	12	24.72134345	15.2919854	1	1	10.0765		5.8340132	5	50 	2.4475		0.008	0.046	0.016	0.019	0.032	0.039
210	u4        	5	2016.0019123331	2016	1	1.69991393	15.3163633	1	1	15.9272		5.8487356	5	50 	55.448		-0.132	-0.099	0.019	0.023	0.044	0.052
211	u1        	5	2016.015542674	2016	1	6.68861867	15.346325	1	1	23.118		5.8654067	5	51 	55.464		-0.035	-0.015	0.026	0.042	0.059	0.094
212	u2        	5	2016.015542674	2016	1	6.68861867	15.3487992	1	1	23.7118		5.8650772	5	51 	54.278		0.016	-0.002	0.027	0.099	0.061	0.221
213	u3        	5	2016.015542674	2016	1	6.68861867	15.3463142	1	1	23.1154		5.85532		5	51 	19.152		-0.003	0.008	0.005	0.007	0.01	0.016
214	u4        	5	2016.015542674	2016	1	6.68861867	15.3415983	1	1	21.9836		5.8658756	5	51 	57.152		0.009	0.009	0.003	0.012	0.006	0.027
215	u3        	5	2016.0182600535	2016	1	7.68317959	15.3587925	1	1	26.1102		5.8583711	5	51 	30.136		-0.036	-0.044	0.005	0.012	0.011	0.027
216	u4        	5	2016.0182600535	2016	1	7.68317959	15.3515983	1	1	24.3836		5.8654217	5	51 	55.518		-0.046	-0.043	0.037	0.012	0.083	0.027
217	u3        	5	2016.0209874785	2016	1	8.68141714	15.3711467	1	1	29.0752		5.8658411	5	51 	57.028		-0.043	-0.008	0.009	0.004	0.019	0.009
218	u4        	5	2016.0209874785	2016	1	8.68141714	15.3635658	1	1	27.2558		5.8655678	5	51 	56.044		-0.055	0.025	0.004	0.009	0.008	0.019
219	u3        	5	2016.0264287129	2016	1	10.67290891	15.3920925	1	1	34.1022		5.8873672	5	53 	14.522		0.009	0.001	0.015	0.007	0.034	0.016
220	u4        	5	2016.0264287129	2016	1	10.67290891	15.3915433	1	1	33.9704		5.8713072	5	52 	16.706		-0.042	0.007	0.011	0.012	0.026	0.026
221	u1        	NA	NA		2012	10	22.86355972	5.3010383	0	21	12.2492		1.4767072	1	28 	36.146		-0.007	0.331	0.056	0.06	0.025	0.027
222	u1        	NA	NA		2013	9	4.01645586	10.8150792	0	43	15.619		3.8658022	3	51 	56.888		0.301	-0.166	0.128	0.181	0.057	0.081
223	u1        	NA	NA		2013	9	8.00617296	10.6905667	0	42	45.736		3.8047217	3	48 	16.998		0.047	0.385	0.044	0.052	0.02	0.023
224	u2        	NA	NA		2012	8	30.0197669	7.1907658	0	28	45.7838		2.2896294	2	17 	22.666		-0.252	-0.135	0.153	0.285	0.068	0.128
225	u2        	NA	NA		2012	8	31.01531729	7.1635117	0	28	39.2428		2.2744389	2	16 	27.98		-0.065	-0.061	0.229	0.201	0.102	0.09
226	u2        	NA	NA		2013	9	1.02780984	10.9050417	0	43	37.21		3.9053172	3	54 	19.142		0.005	-0.214	0.025	0.082	0.011	0.037
227	u2        	NA	NA		2013	9	4.01645586	10.8174458	0	43	16.187		3.85868		3	51 	31.248		0.024	0.001	0.083	0.111	0.037	0.05
228	u2        	NA	NA		2013	9	6.00781913	10.7510167	0	43	0.244		3.83989		3	50 	23.604		-0.017	-0.028	0.073	0.084	0.033	0.037
229	u2        	NA	NA		2013	9	9.99658324	10.6226917	0	42	29.446		3.7851111	3	47 	6.4		-0.033	-0.045	0.033	0.048	0.015	0.021
230	u2        	NA	NA		2013	9	15.98648008	10.4225292	0	41	41.407		3.6879694	3	41 	16.69		0.084	0.047	0.063	0.141	0.036	0.081
231	u2        	NA	NA		2013	10	21.88130186	9.1109667	0	36	26.632		3.1424994	3	 8 	32.998		0.123	-0.164	0.081	0.059	0.036	0.026
232	u2        	NA	NA		2013	11	29.77037088	8.11235		0	32	26.964		2.7265967	2	43 	35.748		-0.034	-0.155	0.024	0.031	0.011	0.014
233	u3        	NA	NA		2012	8	30.0197669	7.1950992	0	28	46.8238		2.2908161	2	17 	26.938		-0.205	-0.024	0.047	0.064	0.021	0.028
234	u3        	NA	NA		2012	8	31.01531729	7.163145	0	28	39.1548		2.2834222	2	17 	0.32		-0.063	0.095	0.037	0.074	0.016	0.033
235	u3        	NA	NA		2012	9	1.01164088	7.1299592	0	28	31.1902		2.273645	2	16 	25.122		0.031	-0.052	0.007	0.03	0.003	0.014
236	u3        	NA	NA		2012	9	9.98740494	6.8362092	0	27	20.6902		2.1461439	2	 8 	46.118		0.078	-0.106	0.044	0.054	0.02	0.024
237	u3        	NA	NA		2012	10	6.91042471	5.8565783	0	23	25.5788		1.7246239	1	43 	28.646		0.034	-0.088	0.019	0.039	0.009	0.017
238	u3        	NA	NA		2012	10	7.90978656	5.8196967	0	23	16.7272		1.7047461	1	42 	17.086		0.014	0.026	0.028	0.047	0.013	0.021
239	u3        	NA	NA		2012	10	22.86355972	5.3000283	0	21	12.0068		1.4872572	1	29 	14.126		-0.027	-0.03	0.014	0.022	0.006	0.01
240	u3        	NA	NA		2012	10	28.8588497	5.1136817	0	20	27.2836		1.393865	1	23 	37.914		0.135	0.036	0.019	0.04	0.009	0.018
241	u3        	NA	NA		2012	11	13.80341519	4.6900594	0	18	45.61425	1.2200944	1	13 	12.34		-0.025	0.014	0.027	0.04	0.013	0.02
242	u3        	NA	NA		2012	12	15.71373485	4.3470417	0	17	23.29		1.1095683	1	 6 	34.446		-0.117	-0.047	0.095	0.059	0.043	0.026
243	u3        	NA	NA		2012	12	18.7092169	4.3590242	0	17	26.1658		1.10096		1	 6 	3.456		-0.055	0.025	0.047	0.036	0.021	0.016
244	u3        	NA	NA		2012	12	19.70548076	4.3651717	0	17	27.6412		1.1031578	1	 6 	11.368		0.022	0.011	0.013	0.05	0.006	0.023
245	u3        	NA	NA		2013	9	1.02780984	10.9057542	0	43	37.381		3.9074844	3	54 	26.944		0.041	0.002	0.013	0.039	0.006	0.017
246	u3        	NA	NA		2013	9	4.01645586	10.81125	0	43	14.7		3.8638111	3	51 	49.72		0.042	-0.054	0.037	0.035	0.017	0.015
247	u3        	NA	NA		2013	9	6.00781913	10.754		0	43	0.96		3.8276711	3	49 	39.616		-0.015	0.069	0.032	0.017	0.014	0.008
248	u3        	NA	NA		2013	9	7.00964488	10.7247125	0	42	53.931		3.8143967	3	48 	51.828		-0.054	0.025	0.016	0.013	0.007	0.006
249	u3        	NA	NA		2013	9	8.00617296	10.6936292	0	42	46.471		3.8048656	3	48 	17.516		0.057	-0.058	0.041	0.065	0.018	0.029
250	u3        	NA	NA		2013	9	9.99658324	10.6249167	0	42	29.98		3.7876272	3	47 	15.458		0.005	0.04	0.033	0.03	0.015	0.014
251	u3        	NA	NA		2013	9	10.99796966	10.5889708	0	42	21.353		3.7744889	3	46 	28.16		0.025	-0.039	0.028	0.024	0.012	0.011
252	u3        	NA	NA		2013	9	14.98444213	10.4575542	0	41	49.813		3.6995972	3	41 	58.55		0.039	0.057	0.022	0.035	0.01	0.016
253	u3        	NA	NA		2013	9	15.98648008	10.4248833	0	41	41.972		3.6862647	3	41 	10.553		0.07	-0.027	0.051	0.039	0.029	0.023
254	u3        	NA	NA		2013	10	3.93144578	9.77075		0	39	4.98		3.4101794	3	24 	36.646		0.02	-0.055	0.016	0.012	0.007	0.005
255	u3        	NA	NA		2013	10	13.90194036	9.4002375	0	37	36.057		3.2620267	3	15 	43.296		-0.055	-0.124	0.046	0.059	0.02	0.026
256	u3        	NA	NA		2013	10	20.88235174	9.1516958	0	36	36.407		3.1479289	3	 8 	52.544		-0.032	-0.01	0.014	0.017	0.006	0.008
257	u3        	NA	NA		2013	10	21.88130186	9.1169292	0	36	28.063		3.1385556	3	 8 	18.8		-0.123	0.016	0.082	0.042	0.037	0.019
258	u3        	NA	NA		2013	11	17.80407704	8.3300708	0	33	19.217		2.8201069	2	49 	12.385		-0.103	-0.212	0.029	0.035	0.015	0.018
259	u3        	NA	NA		2013	11	26.77745654	8.1572958	0	32	37.751		2.7534183	2	45 	12.306		-0.005	0.006	0.046	0.029	0.021	0.013
260	u3        	NA	NA		2013	11	29.77037088	8.1069542	0	32	25.669		2.7346717	2	44 	4.818		0.071	0.055	0.059	0.041	0.026	0.018
261	u3        	NA	NA		2013	12	14.72800644	7.9853792	0	31	56.491		2.6948764	2	41 	41.555		0.033	-0.042	0.027	0.039	0.013	0.019
262	u3        	NA	NA		2013	12	18.71833326	7.98005		0	31	55.212		2.6838778	2	41 	1.96		0.021	0.008	0.033	0.03	0.015	0.014
263	u3        	NA	NA		2013	12	25.69927162	8.0006583	0	32	0.158		2.7083156	2	42 	29.936		0.059	0.021	0.08	0.025	0.036	0.011
264	u4        	NA	NA		2012	8	30.0197669	7.1873217	0	28	44.9572		2.2944578	2	17 	40.048		0.03	0.022	0.06	0.035	0.027	0.016
265	u4        	NA	NA		2012	8	31.01531729	7.1583983	0	28	38.0156		2.2760261	2	16 	33.694		-0.069	0.077	0.086	0.21	0.039	0.094
266	u4        	NA	NA		2012	9	1.01164088	7.1297458	0	28	31.139		2.258		2	15 	28.8		-0.034	-0.057	0.031	0.033	0.014	0.015
267	u4        	NA	NA		2012	9	9.98740494	6.8343658	0	27	20.2478		2.1488128	2	 8 	55.726		0.042	-0.081	0.012	0.022	0.005	0.01
268	u4        	NA	NA		2012	9	21.95435722	6.4113692	0	25	38.7286		1.9635739	1	57 	48.866		0.12	0.006	0.009	0.023	0.004	0.01
269	u4        	NA	NA		2012	10	6.91042471	5.8562383	0	23	25.4972		1.7281161	1	43 	41.218		0.085	-0.056	0.016	0.046	0.007	0.021
270	u4        	NA	NA		2012	10	7.90978656	5.8186133	0	23	16.4672		1.7103444	1	42 	37.24		0.015	-0.008	0.034	0.016	0.015	0.007
271	u4        	NA	NA		2012	10	22.86355972	5.2960392	0	21	11.0494		1.4826628	1	28 	57.586		-0.044	0.017	0.055	0.043	0.024	0.019
272	u4        	NA	NA		2012	10	28.8588497	5.1149725	0	20	27.5934		1.39499		1	23 	41.964		0.106	0.047	0.03	0.039	0.013	0.017
273	u4        	NA	NA		2012	11	13.80341519	4.6907542	0	18	45.781		1.2337472	1	14 	1.49		0.003	-0.052	0.031	0.059	0.016	0.029
274	u4        	NA	NA		2012	12	17.7136861	4.35403		0	17	24.9672		1.0989494	1	 5 	56.218		0.027	0.024	0.027	0.051	0.012	0.023
275	u4        	NA	NA		2012	12	18.7092169	4.3594717	0	17	26.2732		1.0982644	1	 5 	53.752		-0.012	-0.019	0.062	0.049	0.028	0.022
276	u4        	NA	NA		2012	12	19.70548076	4.3654592	0	17	27.7102		1.1000761	1	 6 	0.274		0.028	0.014	0.038	0.057	0.017	0.026
277	u4        	NA	NA		2012	12	21.70110565	4.3776633	0	17	30.6392		1.1113256	1	 6 	40.772		-0.036	0.186	0.03	0.074	0.014	0.033
278	u4        	NA	NA		2013	9	1.02780984	10.9066625	0	43	37.599		3.8899533	3	53 	23.832		0.033	0.019	0.025	0.021	0.011	0.009
279	u4        	NA	NA		2013	9	4.01645586	10.8204292	0	43	16.903		3.8593356	3	51 	33.608		0.028	-0.007	0.021	0.02	0.009	0.009
280	u4        	NA	NA		2013	9	6.00781913	10.7555958	0	43	1.343		3.8426172	3	50 	33.422		0.003	0.021	0.029	0.031	0.013	0.014
281	u4        	NA	NA		2013	9	7.00964488	10.7214042	0	42	53.137		3.8322617	3	49 	56.142		-0.025	-0.035	0.021	0.012	0.01	0.005
282	u4        	NA	NA		2013	9	8.00617296	10.6870542	0	42	44.893		3.819655	3	49 	10.758		0.036	-0.039	0.01	0.023	0.004	0.011
283	u4        	NA	NA		2013	9	9.99658324	10.619325	0	42	28.638		3.7870778	3	47 	13.48		0.072	-0.009	0.007	0.026	0.003	0.012
284	u4        	NA	NA		2013	9	10.99796966	10.5863167	0	42	20.716		3.7679561	3	46 	4.642		0.028	0.012	0.021	0.028	0.01	0.013
285	u4        	NA	NA		2013	9	14.98444213	10.4591208	0	41	50.189		3.6967433	3	41 	48.276		0.018	0.035	0.008	0.026	0.003	0.012
286	u4        	NA	NA		2013	9	15.98648008	10.4260208	0	41	42.245		3.6836953	3	41 	1.303		0.103	-0.018	0.045	0.025	0.026	0.014
287	u4        	NA	NA		2013	10	3.93144578	9.766575	0	39	3.978		3.4248872	3	25 	29.594		0.028	-0.074	0.023	0.022	0.01	0.01
288	u4        	NA	NA		2013	10	13.90194036	9.4029292	0	37	36.703		3.25345		3	15 	12.42		0.008	-0.02	0.033	0.019	0.015	0.008
289	u4        	NA	NA		2013	10	20.88235174	9.1429375	0	36	34.305		3.1590811	3	 9 	32.692		-0.024	0.01	0.017	0.036	0.008	0.016
290	u4        	NA	NA		2013	10	21.88130186	9.1089958	0	36	26.159		3.1393839	3	 8 	21.782		0.017	-0.002	0.013	0.023	0.006	0.01
291	u4        	NA	NA		2013	11	26.77745654	8.1553792	0	32	37.291		2.7587044	2	45 	31.336		0.025	0.015	0.036	0.047	0.016	0.021
292	u4        	NA	NA		2013	11	29.77037088	8.1057167	0	32	25.372		2.7381911	2	44 	17.488		0.078	0.044	0.025	0.018	0.011	0.008
293	u4        	NA	NA		2013	12	18.71833326	7.9849		0	31	56.376		2.6788911	2	40 	44.008		0.037	0.008	0.011	0.021	0.005	0.01
294	u4        	NA	NA		2013	12	25.69927162	8.0002208	0	32	0.053		2.7139267	2	42 	50.136		0.088	-0.033	0.015	0.046	0.007	0.021
	
