avg moment 	pos count 	sat list 	planet avg RA 	planet avg DE 	avg O-C, arcsec 	avg O-C sigma, arcsec 	avg O-C eps, arcsec
ymdd 	deg 	HMS 	deg 	DMS 	RA 	DE 	RA 	DE 	RA 	DE
2011.6329947954	2011	08	20.04310031	2	34	3.750074370694	0 15 0.018	0.79035030375	0 47 25.261	0.158	0.204	0.209	0.418	0.148	0.296
2011.676694521	2011	09	4.99350016	3	234	3.264121059444	0 13 3.389	0.575340842222	0 34 31.227	-0.023	-0.05	0.115	0.104	0.066	0.06
2011.6794216658	2011	09	5.98890802	2	34	3.23059926625	0 12 55.344	0.560661714861	0 33 38.382	-0.025	0.034	0.016	0.009	0.011	0.006
2011.6930882259	2011	09	10.97720244	2	34	3.058475173333	0 12 14.034	0.485349900694	0 29 7.26	0.059	0.023	0.006	0.023	0.004	0.016
2011.7149432544	2011	09	18.95428787	2	34	2.77205993125	0 11 5.294	0.360697350278	0 21 38.51	0.035	-0.042	0.018	0.018	0.013	0.013
2011.7204066963	2011	09	20.94844416	1	4	2.699012340552	0 10 47.763	0.329045544722	0 19 44.564	0.008	-0.014	0	0	0	0
2011.7340699086	2011	09	25.93551662	2	24	2.515114304858	0 10 3.627	0.249543895556	0 14 58.358	0.007	-0.069	0.02	0.003	0.014	0.002
2011.7367954928	2011	09	26.93035487	2	34	2.478337302639	0 9 54.801	0.233684768472	0 14 1.265	-0.023	-0.088	0.02	0.01	0.014	0.007
2011.7395241348	2011	09	27.92630922	3	234	2.441517853243	0 9 45.964	0.217875485741	0 13 4.352	-0.092	0.071	0.034	0.099	0.019	0.057
2011.7477220103	2011	09	30.91853376	1	4	2.331173773059	0 9 19.482	0.170403685	0 10 13.453	-0.118	-0.004	0	0	0	0
2011.750458582	2011	10	1.91738243	2	34	2.294467758609	0 9 10.672	0.1546378325	0 9 16.696	-0.137	-0.037	0.061	0.046	0.043	0.032
2011.7613822338	2011	10	5.90451534	1	3	2.149067073608	0 8 35.776	0.092356678056	0 5 32.484	-0.095	0.039	0	0	0	0
2011.7723150967	2011	10	9.8950103	2	34	2.005989278333	0 8 1.437	0.031266807222	0 1 52.561	-0.103	0.045	0.016	0.068	0.011	0.048
2011.7941683505	2011	10	17.87144794	1	4	1.731088148889	0 6 55.461	-0.085474146111	-0 5 7.707	-0.054	0.059	0	0	0	0
2011.796902838	2011	10	18.86953588	2	23	1.697988378891	0 6 47.517	-0.099465853056	-0 5 58.077	-0.104	0.037	0.019	0.088	0.013	0.062
2011.8597292065	2011	11	10.80116036	2	34	1.059227571668	0 4 14.215	-0.365173167361	-0 21 54.623	-0.064	0.081	0.005	0.069	0.004	0.049
2011.8733942117	2011	11	15.78888726	1	3	0.959169495278	0 3 50.201	-0.405522916667	-0 24 19.883	-0.013	0.001	0	0	0	0
2011.8870636709	2011	11	20.77823986	1	4	0.875608868611	0 3 30.146	-0.438539655833	-0 26 18.743	0.043	-0.076	0	0	0	0
2011.9116442708	2011	11	29.75015884	1	4	0.770096317778	0 3 4.823	-0.478065881111	-0 28 41.037	0.021	-0.011	0	0	0	0
2011.9690483206	2011	12	20.70263703	2	34	0.764347870973	0 3 3.443	-0.465212817361	-0 27 54.766	0.02	-0.005	0.009	0.011	0.006	0.008
2011.990878269	2011	12	28.67056818	2	34	0.852764203195	0 3 24.663	-0.42098443375	-0 25 15.544	-0.069	0.058	0.014	0.186	0.01	0.132
