sat  year  month  day  UT_h  UT_m  UT_s  RA_h  RA_m  RA_s  RA_SEM  DEC_deg  DEC_arcm  DEC_arcs  DEC_SEM  epoch  ref_catalog  Obs_code
u3  2010  9  9  23  13  0.3586  23  57  15.451  0.025  -1   8   43.354  0.028  J2000  UCAC4  84
u3  2010  10  6  21  30  0.5608  23  53  20.168  0.054  -1  34   9.588  0.042  J2000  UCAC4  84
u2  2010  10  10  21  15  0.2001  23  52  47.288  0.278  -1  37   48.574  0.231  J2000  UCAC4  84
u3  2010  10  10  21  15  0.2001  23  52  48.29  0.014  -1  38   34.688  0.049  J2000  UCAC4  84
u4  2010  10  10  21  15  0.2001  23  52  46.864  0.016  -1  37   26.256  0.078  J2000  UCAC4  84
u4  2010  10  10  21  15  0.2001  23  52  46.864  0.016  -1  37   26.256  0.078  J2000  UCAC4  84
u4  2010  1  1  15  39  0.3256  23  35  19.627  0.087  3  28   4.002  0.072  J2000  UCAC4  84
u2  2010  10  18  20  42  0.7849  23  51  44.616  0.164  1  44   26.03  0.1  J2000  UCAC4  84
u3  2010  10  18  20  42  0.7849  23  51  45.34  0.033  1  45   13.328  0.042  J2000  UCAC4  84
u4  2010  10  18  20  42  0.7849  23  51  45.728  0.044  1  45   14.014  0.043  J2000  UCAC4  84
u3  2011  10  9  21  28  0.8148  0  8  1.408  0.03  0   1   31.926  0.024  J2000  UCAC4  84
u4  2011  10  9  21  28  0.8148  0  8  0.515  0.016  0   2   29.852  0.023  J2000  UCAC4  84
u3  2011  10  5  21  42  0.5021  0  8  35.611  0.033  0   5   58.402  0.03  J2000  UCAC4  84
u2  2011  9  4  23  50  0.6402  0  13  3.588  0.067  0  34   13.312  0.082  J2000  UCAC4  84
u3  2011  9  4  23  50  0.6402  0  13  3.288  0.024  0  34   11.634  0.049  J2000  UCAC4  84
u4  2011  9  4  23  50  0.6402  0  13  3.949  0.01  0  33   51.22  0.008  J2000  UCAC4  84
u3  2011  9  5  23  44  0.0275  0  12  55.772  0.027  0  33   8.39  0.017  J2000  UCAC4  84
u4  2011  9  5  23  44  0.0275  0  12  56.235  0.022  0  32   59.55  0.028  J2000  UCAC4  84
u3  2011  9  10  23  27  0.1715  0  12  13.362  0.022  0  29   36.288  0.031  J2000  UCAC4  84
u4  2011  9  10  23  27  0.1715  0  12  13.811  0.024  0  29   42.618  0.035  J2000  UCAC4  84
u3  2011  9  18  22  54  0.1745  0  11  4.904  0.013  0  22   8.33  0.046  J2000  UCAC4  84
u4  2011  9  18  22  54  0.1745  0  11  6.04  0.012  0  20   57.82  0.023  J2000  UCAC4  84
u4  2011  9  20  22  45  0.7596  0  10  48.77  0.018  0  19   22.302  0.027  J2000  UCAC4  84
u2  2011  9  25  22  27  0.1439  0  10  3.967  0.05  0  14   39.788  0.071  J2000  UCAC4  84
u4  2011  9  25  22  27  0.1439  0  10  2.811  0.012  0  15   38.442  0.02  J2000  UCAC4  84
u3  2011  9  26  22  19  0.711  0  9  54.787  0.032  0  14   23.734  0.058  J2000  UCAC4  84
u4  2011  9  26  22  19  0.711  0  9  53.804  0.034  0  14   33.89  0.039  J2000  UCAC4  84
u2  2011  9  27  22  13  0.8853  0  9  45.666  0.204  0  13   22.714  0.274  J2000  UCAC4  84
u3  2011  9  27  22  13  0.8853  0  9  45.45  0.066  0  13   34.938  0.078  J2000  UCAC4  84
u4  2011  9  27  22  13  0.8853  0  9  44.998  0.082  0  13   22.62  0.095  J2000  UCAC4  84
u4  2011  9  30  22  2  0.6886  0  9  19.614  0.056  0  9 4  0.716  0.044  J2000  UCAC4  84
u3  2011  10  1  22  1  0.0307  0  9  11.024  0.045  0  8 4  7.566  0.042  J2000  UCAC4  84
u4  2011  10  1  22  1  0.0307  0  9  11.238  0.054  0  8 3  6.578  0.04  J2000  UCAC4  84
u3  2011  8  20  1  2  0.0644  0  15  0.624  0.052  0  46   55.402  0.025  J2000  UCAC4  84
u4  2011  10  17  20  54  0.885  0  6  56.428  0.032  0   5   30.204  0.073  J2000  UCAC4  84
u2  2011  10  18  20  52  0.1317  0  6  47.12  0.078  0   5   40.332  0.067  J2000  UCAC4  84
u3  2011  10  18  20  52  0.1317  0  6  47.641  0.027  0   6   22.482  0.011  J2000  UCAC4  84
u3  2011  11  10  19  13  0.6709  0  4  13.598  0.023  0  21   25.328  0.053  J2000  UCAC4  84
u4  2011  11  10  19  13  0.6709  0  4  14.591  0.052  0  22   31.146  0.076  J2000  UCAC4  84
u3  2011  11  15  18  55  0.9977  0  3  50.912  0.024  0  24   43.218  0.034  J2000  UCAC4  84
u4  2011  11  20  18  40  0.6654  0  3  29.263  0.039  0  26   0.41  0.029  J2000  UCAC4  84
