sat  year  month  day  UT_h  UT_m  UT_s  RA_h  RA_m  RA_s  RA_SEM  DEC_deg  DEC_arcm  DEC_arcs  DEC_SEM  epoch  ref_catalog  Obs_code
u3  2013  9  4  0  23  0.6964  0  43  14.7  0.017  3  51   49.72  0.015  J2000  UCAC4  84
u3  2013  9  6  0  11  0.2595  0  43  0.96  0.014  3  49   39.616  0.008  J2000  UCAC4  84
u3  2013  9  7  0  13  0.8886  0  42  53.931  0.007  3  48   51.828  0.006  J2000  UCAC4  84
u3  2013  9  8  0  8  0.8891  0  42  46.471  0.018  3  48   17.516  0.029  J2000  UCAC4  84
u3  2013  9  9  23  55  0.0799  0  42  29.98  0.015  3  47   15.458  0.014  J2000  UCAC4  84
u3  2013  9  10  23  57  0.0763  0  42  21.353  0.012  3  46   28.16  0.011  J2000  UCAC4  84
u3  2013  9  14  23  37  0.5967  0  41  49.813  0.01  3  41   58.55  0.016  J2000  UCAC4  84
u3  2013  9  15  23  40  0.5313  0  41  41.972  0.029  3  41   10.553  0.023  J2000  UCAC4  84
u3  2013  10  3  22  21  0.2819  0  39  4.98  0.007  3  24   36.646  0.005  J2000  UCAC4  84
u3  2013  10  13  21  38  0.7941  0  37  36.057  0.02  3  15   43.296  0.026  J2000  UCAC4  84
u3  2013  10  20  21  10  0.5865  0  36  36.407  0.006  3   8   52.544  0.008  J2000  UCAC4  84
u3  2013  10  21  21  9  0.0747  0  36  28.063  0.037  3   8   18.8  0.019  J2000  UCAC4  84
u3  2013  11  17  19  17  0.8709  0  33  19.217  0.015  2  49   12.385  0.018  J2000  UCAC4  84
u3  2013  11  26  18  39  0.5374  0  32  37.751  0.021  2  45   12.306  0.013  J2000  UCAC4  84
u3  2013  11  29  18  29  0.3341  0  32  25.669  0.026  2  44   4.818  0.018  J2000  UCAC4  84
u3  2013  12  14  17  28  0.3293  0  31  56.491  0.013  2  41   41.555  0.019  J2000  UCAC4  84
u3  2013  12  18  17  14  0.3999  0  31  55.212  0.015  2  41   1.96  0.014  J2000  UCAC4  84
u3  2013  12  25  16  46  0.9511  0  32  0.158  0.036  2  42   29.936  0.011  J2000  UCAC4  84
u4  2012  8  30  0  28  0.4643  0  28  44.957  0.027  2  17   40.048  0.016  J2000  UCAC4  84
u4  2012  8  31  0  22  0.0569  0  28  38.016  0.039  2  16   33.694  0.094  J2000  UCAC4  84
u4  2012  9  1  0  16  0.7629  0  28  31.139  0.014  2  15   28.8  0.015  J2000  UCAC4  84
u4  2012  9  9  23  41  0.8631  0  27  20.248  0.005  2   8   55.726  0.01  J2000  UCAC4  84
u4  2012  9  21  22  54  0.2744  0  25  38.729  0.004  1  57   48.866  0.01  J2000  UCAC4  84
u4  2012  10  6  21  51  0.0116  0  23  25.497  0.007  1  43   41.218  0.021  J2000  UCAC4  84
u4  2012  10  7  21  50  0.0926  0  23  16.467  0.015  1  42   37.24  0.007  J2000  UCAC4  84
u4  2012  10  22  20  43  0.526  0  21  11.049  0.024  1  28   57.586  0.019  J2000  UCAC4  84
u4  2012  10  28  20  36  0.7436  0  20  27.593  0.013  1  23   41.964  0.017  J2000  UCAC4  84
u4  2012  11  13  19  16  0.9179  0  18  45.781  0.016  1  14   1.49  0.029  J2000  UCAC4  84
u4  2012  12  17  17  7  0.708  0  17  24.967  0.012  1   5   56.218  0.023  J2000  UCAC4  84
u4  2012  12  18  17  1  0.2723  0  17  26.273  0.028  1   5   53.752  0.022  J2000  UCAC4  84
u4  2012  12  19  16  55  0.8923  0  17  27.71  0.017  1   6   0.274  0.026  J2000  UCAC4  84
u4  2012  12  21  16  49  0.5921  0  17  30.639  0.014  1   6   40.772  0.033  J2000  UCAC4  84
u4  2013  9  1  0  40  0.0462  0  43  37.599  0.011  3  53   23.832  0.009  J2000  UCAC4  84
u4  2013  9  4  0  23  0.6964  0  43  16.903  0.009  3  51   33.608  0.009  J2000  UCAC4  84
u4  2013  9  6  0  11  0.2595  0  43  1.343  0.013  3  50   33.422  0.014  J2000  UCAC4  84
u4  2013  9  7  0  13  0.8886  0  42  53.137  0.01  3  49   56.142  0.005  J2000  UCAC4  84
u4  2013  9  8  0  8  0.8891  0  42  44.893  0.004  3  49   10.758  0.011  J2000  UCAC4  84
u4  2013  9  9  23  55  0.0799  0  42  28.638  0.003  3  47   13.48  0.012  J2000  UCAC4  84
u4  2013  9  10  23  57  0.0763  0  42  20.716  0.01  3  46   4.642  0.013  J2000  UCAC4  84
u4  2013  9  14  23  37  0.5967  0  41  50.189  0.003  3  41   48.276  0.012  J2000  UCAC4  84
u4  2013  9  15  23  40  0.5313  0  41  42.245  0.026  3  41   1.303  0.014  J2000  UCAC4  84
u4  2013  10  3  22  21  0.2819  0  39  3.978  0.01  3  25   29.594  0.01  J2000  UCAC4  84
u4  2013  10  13  21  38  0.7941  0  37  36.703  0.015  3  15   12.42  0.008  J2000  UCAC4  84
u4  2013  10  20  21  10  0.5865  0  36  34.305  0.008  3   9   32.692  0.016  J2000  UCAC4  84
u4  2013  10  21  21  9  0.0747  0  36  26.159  0.006  3   8   21.782  0.01  J2000  UCAC4  84
u4  2013  11  26  18  39  0.5374  0  32  37.291  0.016  2  45   31.336  0.021  J2000  UCAC4  84
u4  2013  11  29  18  29  0.3341  0  32  25.372  0.011  2  44   17.488  0.008  J2000  UCAC4  84
u4  2013  12  18  17  14  0.3999  0  31  56.376  0.005  2  40   44.008  0.01  J2000  UCAC4  84
u4  2013  12  25  16  46  0.9511  0  32  0.053  0.007  2  42   50.136  0.021  J2000  UCAC4  84
