0.026	-0.05
-0.073	0.004
0.027	-0.04
-0.001	0.03
0.055	-0.12
0.078	-0.02
-0.098	-0.16
-0.01	-0.02
-0.042	0.048
-0.013	-0.01
0.044	0.037
-0.055	-0.03
0.024	-0.04
-0.139	-0.19
0.047	-0.12
0.019	0.053
0.088	-0.01
0.026	-0.02
-0.074	-0.03
0.054	-0.11
-0.018	0.109
0.031	-0.11
0.088	0.003
-0.005	-0.00
0.03	0.022
-0.009	-0.12
-0.049	-0.07
-0.046	-0.15
-0.022	-0.07
-0.011	-0.08
-0.047	0.081
0.077	-0.08
-0.016	0.011
0.06	-0.10
0.048	0.013
0.158	0.204
-0.023	-0.05
-0.025	0.034
0.059	0.023
0.035	-0.04
0.008	-0.01
0.007	-0.06
-0.023	-0.08
-0.092	0.071
-0.118	-0.00
-0.137	-0.03
-0.095	0.039
-0.103	0.045
-0.054	0.059
-0.104	0.037
-0.064	0.081
-0.013	0.001
0.043	-0.07
0.021	-0.01
0.02	-0.00
-0.069	0.058
0.024	-0.04
-0.035	-0.14
0.009	0.084
-0.043	0.013
0.096	-0.08
0.056	-0.03
-0.092	0.088
0.006	0.097
-0.024	-0.20
-0.086	-0.16
-0.09	-0.04
-0.101	-0.07
-0.104	-0.03
-0.11	-0.13
0.01	0.01	
-0.002	0.074
0.046	0.164
0.085	0.015
-0.046	0.072
-0.034	0.039
0.073	-0.1	
-0.029	-0.22
0.078	-0.05
0.041	-0.09
0.087	-0.21
-0.006	-0.12
-0.061	-0.11
-0.014	-0.14
-0.09	-0.05
0.028	-0.12
-0.012	-0.10
-0.039	-0.04
-0.013	-0	
0.05	-0.00
0.17	0.092
0.078	-0.02
0.065	-0.00
0.121	0.004
0.031	0.022
0.086	0.005
-0.073	0.066
-0.005	-0.08
-0.006	0.024
0.036	-0.00
-0.168	-0.06
-0.034	0.196
-0.002	-0.05
0.06	-0.09
0.11	0.197
0.059	-0.07
0.015	0.009
-0.026	0.106
0.12	0.042
-0.011	-0.01
-0.117	-0.04
0.027	0.024
-0.033	0.003
0.025	0.013
-0.036	0.186
0.026	-0.06
0.099	-0.05
-0.009	0.021
-0.039	-0.00
0.046	0.096
0.014	-0.00
0.027	-0.01
0.028	0.046
0.086	0.001
0.024	-0.06
-0.023	-0.07
-0.028	-0	
0.006	-0.05
0.101	-0.03
0.01	0.011
0.097	0.022
0.281	0.069
0.029	0.008
0.074	-0.00
-0.132	-0.09
-0.003	0	
-0.041	-0.04
-0.049	0.008
-0.016	0.004
