"name","count","yf","y","m","d","ra_deg","ra_h","ra_m","ra_s","de_deg","de_d","de_m","de_s","oc_ra","oc_de","oc_ra_eps","oc_de_eps","oc_ra_sigma","oc_de_sigma"
"u3        ",5,2011.676694521,2011,9,4.99350016,3.2637,0,13,3.288,0.5698983333333,0,"34 ",11.634,0.08,-0.01,0.011,0.022,0.024,0.049
"u4        ",5,2011.676694521,2011,9,4.99350016,3.266453333333,0,13,3.9488,0.5642277777778,0,"33 ",51.22,0.028,0.035,0.005,0.004,0.01,0.008
"u3        ",5,2011.6794216658,2011,9,5.98890802,3.232381666667,0,12,55.7716,0.5523305555556,0,"33 ",8.39,-0.029,0.043,0.012,0.008,0.027,0.017
"u4        ",5,2011.6794216658,2011,9,5.98890802,3.234311666667,0,12,56.2348,0.549875,0,"32 ",59.55,0,0.033,0.01,0.013,0.022,0.028
"u3        ",5,2011.6930882259,2011,9,10.97720244,3.05567333333,0,12,13.3616,0.49341333333,0,"29 ",36.288,0.054,0.008,0.01,0.014,0.022,0.031
"u4        ",5,2011.6930882259,2011,9,10.97720244,3.05754416667,0,12,13.8106,0.49517166667,0,"29 ",42.618,0.046,0.04,0.011,0.016,0.024,0.035
"u3        ",5,2011.7149432544,2011,9,18.95428787,2.77043416667,0,11,4.9042,0.3689805555556,0,"22 ",8.33,0.044,-0.032,0.006,0.02,0.013,0.046
"u4        ",5,2011.7149432544,2011,9,18.95428787,2.77516583333,0,11,6.0398,0.3493944444444,0,"20 ",57.82,0.038,-0.051,0.005,0.01,0.012,0.023
"u4        ",5,2011.7204066963,2011,9,20.94844416,2.70320833333,0,10,48.77,0.3228616666667,0,"19 ",22.302,0.012,-0.006,0.008,0.012,0.018,0.027
"u2        ",5,2011.7340699085,2011,9,25.93551662,2.51652833333,0,10,3.9668,0.2443855555556,0,"14 ",39.788,0.022,-0.069,0.022,0.032,0.05,0.071
"u4        ",5,2011.7340699085,2011,9,25.93551662,2.51171083333,0,10,2.8106,0.2606783333333,0,"15 ",38.442,-0.023,-0.073,0.005,0.009,0.012,0.02
"u3        ",5,2011.7367954928,2011,9,26.93035487,2.47827833333,0,9,54.7868,0.2399261111111,0,"14 ",23.734,-0.044,-0.086,0.014,0.026,0.032,0.058
"u4        ",5,2011.7367954928,2011,9,26.93035487,2.47418416667,0,9,53.8042,0.2427472222222,0,"14 ",33.89,-0.02,-0.104,0.015,0.018,0.034,0.039
"u2        ",5,2011.7395241348,2011,9,27.92630922,2.44027666667,0,9,45.6664,0.2229761111111,0,"13 ",22.714,-0.058,-0.04,0.091,0.122,0.204,0.274
"u3        ",5,2011.7395241348,2011,9,27.92630922,2.43937666667,0,9,45.4504,0.2263716666667,0,"13 ",34.938,-0.126,0.148,0.03,0.035,0.066,0.078
"u4        ",5,2011.7395241348,2011,9,27.92630922,2.4374925,0,9,44.9982,0.22295,0,"13 ",22.62,-0.098,0.097,0.037,0.042,0.082,0.095
"u4        ",5,2011.7477220103,2011,9,30.91853376,2.33172666667,0,9,19.6144,0.16131,0,"9 4",0.716,-0.102,-0.006,0.025,0.02,0.056,0.044
"u3        ",5,2011.750458582,2011,10,1.91738243,2.29593333333,0,9,11.024,0.1465461111111,0,"8 4",7.566,-0.086,-0.067,0.02,0.019,0.045,0.042
"u4        ",5,2011.750458582,2011,10,1.91738243,2.296825,0,9,11.238,0.1434938888889,0,"8 3",6.578,-0.163,-0.002,0.024,0.018,0.054,0.04
"u3        ",5,2011.6329947954,2011,8,20.04310031,3.75260083333,0,15,0.6242,0.7820561111111,0,"46 ",55.402,0.016,-0.088,0.023,0.011,0.052,0.025
"u4        ",5,2011.7941683505,2011,10,17.87144794,1.735115,0,6,56.4276,-0.091723333333,0," 5 ",30.204,-0.05,0.068,0.014,0.033,0.032,0.073
"u2        ",5,2011.796902838,2011,10,18.86953588,1.69633166667,0,6,47.1196,-0.094536666667,0," 5 ",40.332,-0.119,-0.024,0.035,0.03,0.078,0.067
"u3        ",5,2011.796902838,2011,10,18.86953588,1.698505,0,6,47.6412,-0.106245,0," 6 ",22.482,-0.082,0.101,0.012,0.005,0.027,0.011
"u3        ",5,2011.8597292065,2011,11,10.80116036,1.05666,0,4,13.5984,-0.3570355555556,0,"21 ",25.328,-0.071,0.033,0.01,0.024,0.023,0.053
"u4        ",5,2011.8597292065,2011,11,10.80116036,1.06079416667,0,4,14.5906,-0.3753183333333,0,"22 ",31.146,-0.043,0.129,0.023,0.034,0.052,0.076
"u3        ",5,2011.8733942117,2011,11,15.78888726,0.962135,0,3,50.9124,-0.412005,0,"24 ",43.218,-0.014,0.002,0.011,0.015,0.024,0.034
"u4        ",5,2011.8870636708,2011,11,20.77823986,0.871928333333,0,3,29.2628,-0.4334472222222,0,"26 ",0.41,0.041,-0.085,0.017,0.013,0.039,0.029
"u4        ",5,2011.9116442708,2011,11,29.75015884,0.770739166667,0,3,4.9774,-0.4721627777778,0,"28 ",19.786,0.009,-0.01,0.019,0.023,0.042,0.052
"u3        ",5,2011.9690483206,2011,12,20.70263703,0.767221666667,0,3,4.1332,-0.4712061111111,0,"28 ",16.342,0.025,0.008,0.011,0.038,0.025,0.086
"u4        ",5,2011.9690483206,2011,12,20.70263703,0.765059166667,0,3,3.6142,-0.4737855555556,0,"28 ",25.628,0.029,-0.015,0.007,0.033,0.015,0.074
"u3        ",5,2011.990878269,2011,12,28.67056818,0.855211666667,0,3,25.2508,-0.4287861111111,0,"25 ",43.63,-0.075,0.194,0.003,0.014,0.007,0.032
"u4        ",5,2011.990878269,2011,12,28.67056818,0.8501575,0,3,24.0378,-0.4103366666667,0,"24 ",37.212,-0.074,-0.078,0.019,0.017,0.042,0.039
"u3        ",4,2014.6631094841,2014,8,31.0349617,14.722201041667,0,58,53.32825,5.5274819444444,5,"31 ",38.935,0.018,-0.066,0.028,0.016,0.056,0.032
"u4        ",4,2014.6631094841,2014,8,31.0349617,14.720746875,0,58,52.97925,5.5190319444444,5,"31 ",8.515,0.042,-0.009,0.02,0.017,0.04,0.035
"u4        ",5,2014.6767692994,2014,9,5.02079429,14.579076666667,0,58,18.9784,5.4795038888889,5,"28 ",46.214,-0.05,-0.148,0.01,0.02,0.023,0.045
"u2        ",5,2014.6822381702,2014,9,7.01693211,14.5176625,0,58,4.239,5.4407555555556,5,"26 ",26.72,0.04,0.216,0.052,0.07,0.116,0.157
"u3        ",5,2014.6822381702,2014,9,7.01693211,14.519575833333,0,58,4.6982,5.4368088888889,5,"26 ",12.512,-0.011,0.043,0.008,0.016,0.018,0.035
"u4        ",5,2014.6822381702,2014,9,7.01693211,14.514295833333,0,58,3.431,5.4562988888889,5,"27 ",22.676,-0.01,-0.006,0.013,0.02,0.029,0.044
"u3        ",5,2014.684971363,2014,9,8.01454748,14.4914975,0,57,57.9594,5.4260122222222,5,"25 ",33.644,-0.067,0.05,0.009,0.014,0.021,0.031
"u4        ",5,2014.684971363,2014,9,8.01454748,14.48213,0,57,55.7112,5.4408855555556,5,"26 ",27.188,-0.029,-0.03,0.014,0.011,0.031,0.024
"u3        ",5,2014.6877084623,2014,9,9.01358874,14.460975833333,0,57,50.6342,5.4182,5,"25 ",5.52,-0.029,-0.034,0.038,0.015,0.085,0.034
"u4        ",5,2014.6877084623,2014,9,9.01358874,14.450706666667,0,57,48.1696,5.4234444444444,5,"25 ",24.4,0.214,-0.149,0.038,0.019,0.085,0.042
